FID,OID_,lat,lon
0,0,33.625000000599996,111.875000000000000
1,0,33.875000000299998,107.875000000000000
2,0,33.875000000299998,108.125000001000000
3,0,33.875000000299998,108.375000000000000
4,0,33.875000000299998,108.625000000000000
5,0,33.875000000299998,108.875000000000000
6,0,33.875000000299998,112.125000001000000
7,0,34.125000000000000,105.625000000000000
8,0,34.125000000000000,106.375000000000000
9,0,34.125000000000000,107.875000000000000
10,0,34.125000000000000,108.125000001000000
11,0,34.125000000000000,108.375000000000000
12,0,34.125000000000000,108.625000000000000
13,0,34.125000000000000,108.875000000000000
14,0,34.125000000000000,109.125000001000000
15,0,34.125000000000000,109.375000000000000
16,0,34.125000000000000,109.625000000000000
17,0,34.125000000000000,111.375000000000000
18,0,34.125000000000000,111.875000000000000
19,0,34.125000000000000,112.125000001000000
20,0,34.374999999600000,105.625000000000000
21,0,34.374999999600000,105.875000000000000
22,0,34.374999999600000,106.125000001000000
23,0,34.374999999600000,106.375000000000000
24,0,34.374999999600000,106.625000000000000
25,0,34.374999999600000,106.875000000000000
26,0,34.374999999600000,107.125000001000000
27,0,34.374999999600000,107.375000000000000
28,0,34.374999999600000,107.625000000000000
29,0,34.374999999600000,107.875000000000000
30,0,34.374999999600000,108.125000001000000
31,0,34.374999999600000,108.375000000000000
32,0,34.374999999600000,108.625000000000000
33,0,34.374999999600000,108.875000000000000
34,0,34.374999999600000,109.125000001000000
35,0,34.374999999600000,109.375000000000000
36,0,34.374999999600000,109.625000000000000
37,0,34.374999999600000,109.875000000000000
38,0,34.374999999600000,110.625000000000000
39,0,34.374999999600000,110.875000000000000
40,0,34.374999999600000,111.375000000000000
41,0,34.374999999600000,111.625000000000000
42,0,34.374999999600000,111.875000000000000
43,0,34.374999999600000,112.125000001000000
44,0,34.374999999600000,112.375000000000000
45,0,34.374999999600000,112.625000000000000
46,0,34.625000000599996,104.375000000000000
47,0,34.625000000599996,104.625000000000000
48,0,34.625000000599996,104.875000000000000
49,0,34.625000000599996,105.125000001000000
50,0,34.625000000599996,105.375000000000000
51,0,34.625000000599996,105.625000000000000
52,0,34.625000000599996,105.875000000000000
53,0,34.625000000599996,106.125000001000000
54,0,34.625000000599996,106.375000000000000
55,0,34.625000000599996,106.625000000000000
56,0,34.625000000599996,106.875000000000000
57,0,34.625000000599996,107.125000001000000
58,0,34.625000000599996,107.375000000000000
59,0,34.625000000599996,107.625000000000000
60,0,34.625000000599996,107.875000000000000
61,0,34.625000000599996,108.125000001000000
62,0,34.625000000599996,108.375000000000000
63,0,34.625000000599996,108.625000000000000
64,0,34.625000000599996,108.875000000000000
65,0,34.625000000599996,109.125000001000000
66,0,34.625000000599996,109.375000000000000
67,0,34.625000000599996,109.625000000000000
68,0,34.625000000599996,109.875000000000000
69,0,34.625000000599996,110.125000001000000
70,0,34.625000000599996,110.375000000000000
71,0,34.625000000599996,110.625000000000000
72,0,34.625000000599996,110.875000000000000
73,0,34.625000000599996,111.125000001000000
74,0,34.625000000599996,111.375000000000000
75,0,34.625000000599996,111.625000000000000
76,0,34.625000000599996,111.875000000000000
77,0,34.625000000599996,112.125000001000000
78,0,34.625000000599996,112.375000000000000
79,0,34.625000000599996,112.625000000000000
80,0,34.625000000599996,112.875000000000000
81,0,34.625000000599996,113.125000001000000
82,0,34.875000000299998,104.125000001000000
83,0,34.875000000299998,104.375000000000000
84,0,34.875000000299998,104.625000000000000
85,0,34.875000000299998,104.875000000000000
86,0,34.875000000299998,105.125000001000000
87,0,34.875000000299998,105.375000000000000
88,0,34.875000000299998,105.625000000000000
89,0,34.875000000299998,105.875000000000000
90,0,34.875000000299998,106.125000001000000
91,0,34.875000000299998,106.375000000000000
92,0,34.875000000299998,106.625000000000000
93,0,34.875000000299998,106.875000000000000
94,0,34.875000000299998,107.125000001000000
95,0,34.875000000299998,107.375000000000000
96,0,34.875000000299998,107.625000000000000
97,0,34.875000000299998,107.875000000000000
98,0,34.875000000299998,108.125000001000000
99,0,34.875000000299998,108.375000000000000
100,0,34.875000000299998,108.625000000000000
101,0,34.875000000299998,108.875000000000000
102,0,34.875000000299998,109.125000001000000
103,0,34.875000000299998,109.375000000000000
104,0,34.875000000299998,109.625000000000000
105,0,34.875000000299998,109.875000000000000
106,0,34.875000000299998,110.125000001000000
107,0,34.875000000299998,110.375000000000000
108,0,34.875000000299998,110.625000000000000
109,0,34.875000000299998,110.875000000000000
110,0,34.875000000299998,111.125000001000000
111,0,34.875000000299998,111.375000000000000
112,0,34.875000000299998,111.625000000000000
113,0,34.875000000299998,111.875000000000000
114,0,34.875000000299998,112.125000001000000
115,0,34.875000000299998,112.375000000000000
116,0,34.875000000299998,113.375000000000000
117,0,35.125000000000000,102.125000001000000
118,0,35.125000000000000,103.625000000000000
119,0,35.125000000000000,103.875000000000000
120,0,35.125000000000000,104.125000001000000
121,0,35.125000000000000,104.375000000000000
122,0,35.125000000000000,104.625000000000000
123,0,35.125000000000000,104.875000000000000
124,0,35.125000000000000,105.125000001000000
125,0,35.125000000000000,105.375000000000000
126,0,35.125000000000000,105.625000000000000
127,0,35.125000000000000,105.875000000000000
128,0,35.125000000000000,106.125000001000000
129,0,35.125000000000000,106.375000000000000
130,0,35.125000000000000,106.625000000000000
131,0,35.125000000000000,106.875000000000000
132,0,35.125000000000000,107.125000001000000
133,0,35.125000000000000,107.375000000000000
134,0,35.125000000000000,107.625000000000000
135,0,35.125000000000000,107.875000000000000
136,0,35.125000000000000,108.125000001000000
137,0,35.125000000000000,108.375000000000000
138,0,35.125000000000000,108.625000000000000
139,0,35.125000000000000,108.875000000000000
140,0,35.125000000000000,109.125000001000000
141,0,35.125000000000000,109.375000000000000
142,0,35.125000000000000,109.625000000000000
143,0,35.125000000000000,109.875000000000000
144,0,35.125000000000000,110.125000001000000
145,0,35.125000000000000,110.375000000000000
146,0,35.125000000000000,110.625000000000000
147,0,35.125000000000000,110.875000000000000
148,0,35.125000000000000,111.125000001000000
149,0,35.125000000000000,111.375000000000000
150,0,35.125000000000000,111.625000000000000
151,0,35.125000000000000,111.875000000000000
152,0,35.125000000000000,112.125000001000000
153,0,35.125000000000000,112.375000000000000
154,0,35.125000000000000,112.625000000000000
155,0,35.374999999600000,101.875000000000000
156,0,35.374999999600000,102.125000001000000
157,0,35.374999999600000,103.125000001000000
158,0,35.374999999600000,103.375000000000000
159,0,35.374999999600000,103.625000000000000
160,0,35.374999999600000,103.875000000000000
161,0,35.374999999600000,104.125000001000000
162,0,35.374999999600000,104.375000000000000
163,0,35.374999999600000,104.625000000000000
164,0,35.374999999600000,104.875000000000000
165,0,35.374999999600000,105.125000001000000
166,0,35.374999999600000,105.375000000000000
167,0,35.374999999600000,105.625000000000000
168,0,35.374999999600000,105.875000000000000
169,0,35.374999999600000,106.125000001000000
170,0,35.374999999600000,106.375000000000000
171,0,35.374999999600000,106.625000000000000
172,0,35.374999999600000,106.875000000000000
173,0,35.374999999600000,107.125000001000000
174,0,35.374999999600000,107.375000000000000
175,0,35.374999999600000,107.625000000000000
176,0,35.374999999600000,107.875000000000000
177,0,35.374999999600000,108.125000001000000
178,0,35.374999999600000,108.375000000000000
179,0,35.374999999600000,108.625000000000000
180,0,35.374999999600000,108.875000000000000
181,0,35.374999999600000,109.125000001000000
182,0,35.374999999600000,109.375000000000000
183,0,35.374999999600000,109.625000000000000
184,0,35.374999999600000,109.875000000000000
185,0,35.374999999600000,110.125000001000000
186,0,35.374999999600000,110.375000000000000
187,0,35.374999999600000,110.625000000000000
188,0,35.374999999600000,110.875000000000000
189,0,35.374999999600000,111.125000001000000
190,0,35.374999999600000,111.375000000000000
191,0,35.374999999600000,111.625000000000000
192,0,35.374999999600000,111.875000000000000
193,0,35.374999999600000,112.125000001000000
194,0,35.374999999600000,112.375000000000000
195,0,35.374999999600000,112.625000000000000
196,0,35.374999999600000,112.875000000000000
197,0,35.374999999600000,113.125000001000000
